Controller,Kc,Ti,Td,OvershootValue,PeakTime_s,SettlingTime_s,DecayRatio,SteadyStateError,Score,MeetsAll
PID,3.5,0.75,1.35,0.0258131134342121,4.57,5.37615432012842,5.22679978892638,0,0.773200211073624,0
PID,1.25,0.75,1.7,0.0332026002965506,5.78,7.19185472842046,8.73280531455367,0,0.78,0
PID,2.5,1,1.35,0.0201239359214618,5.78,5.92487577056117,9.52512689137649,0,0.78,0
PID,3,1,1.45,0.02157763877609,5.78,6.30590176395036,7.5313637461576,0,0.78,0
PID,3,0.75,1.45,0.0289685829766095,4.78,5.7969817159347,5.21851051370124,0,0.781489486298761,0
PID,4,1,1.55,0.0209269379194739,5.77,6.17736375553018,5.97732936209946,0,0.79267063790054,0
PID,3.25,0.75,1.4,0.0273650866469204,4.67,5.58824004825591,5.2058311344078,0,0.794168865592202,0
PID,3.75,1,1.55,0.021503397292675,5.8,6.32182937269088,6.15416058618646,0,0.8,0
PID,1.5,0.75,1.9,0.0391930638005011,5.81,7.45201678785602,6.32184628869581,0,0.81,0
PID,3.25,1,1.5,0.0219107681682447,5.81,6.38722751878492,6.88111816752806,0,0.81,0
PID,11.75,0.5,0.05,0.194887663900021,0.31,0.922293080600861,5.18982261191607,0,0.810177388083933,0
PID,2.25,0.75,1.65,0.0345930076420837,5.2,6.53942437405778,5.37956967032545,0,0.820430329674549,0
PI,7.25,0.5,NaN,0.382997629241673,0.41,1.74674242280185,9.49735407446337,0,0.829976292416733,0
PID,1.25,0.75,1.75,0.0342474881434678,5.84,7.30557563401412,8.41677727527177,0,0.84,0
PID,3.5,1,1.55,0.0220701923296582,5.84,6.44982669819697,6.36490781623913,0,0.84,0
PID,4,0.75,1.3,0.0235379221104546,4.44,5.06869115738825,5.15402493192281,0,0.845975068077191,0
PID,2.5,1,1.4,0.0210696495525955,5.85,6.28222629916952,9.03077959141742,0,0.850000000000001,0
PID,2.75,1,1.45,0.0218653756681368,5.85,6.41836461491509,7.99070602829991,0,0.850000000000001,0
PID,4.5,0.75,1.25,0.0214667692250834,4.33,4.72401804559487,5.14870537523289,0,0.851294624767112,0
PID,2.5,0.75,1.6,0.0329721357538815,5.07,6.32609105648755,5.21431484954839,0,0.855685150451608,0
PID,1.5,0.75,1.95,0.0400158238541806,5.86,7.54974557746581,6.15633705833834,0,0.86,0
PID,3,1,1.5,0.0223506137323057,5.86,6.50465456742448,7.21799275443329,0,0.86,0
PID,1.25,0.5,1.65,0.0520351693687175,4.34,5.81994185004235,5.12024425219551,0,0.879755747804488,0
PID,3.25,1,1.55,0.0226093556949696,5.88,6.56892791920017,6.62028524907664,0,0.88,0
PI,7.5,0.5,NaN,0.388766187279317,0.4,1.72587826919886,9.30038711061994,0,0.887661872793171,0
PID,2.75,0.75,1.55,0.0313030511242582,4.96,6.11838732905201,5.11195662976692,0,0.888043370233084,0
PID,1.25,0.75,1.8,0.0352617582722634,5.89,7.41574060101892,8.12780477118721,0,0.89,0
PI,6.25,0.5,NaN,0.358140370364308,0.44,1.53056720977488,10.3131304823362,0,0.894534185979245,0
PID,11.5,0.5,0.05,0.194953917102098,0.32,0.935025587590376,5.10302429857504,0,0.896975701424961,0
PID,1.75,0.75,1.85,0.0387404339025392,5.62,7.19942746247368,5.71582666155082,0,0.904173338449184,0
PID,3.5,1,1.6,0.0227017410852997,5.91,6.62070832962978,6.1434362032561,0,0.91,0
PID,3.75,0.75,1.35,0.0249736990990534,4.54,5.29053128723114,5.08813966124413,0,0.911860338755867,0
PID,4.25,1,1.55,0.0203523668806707,5.74,5.99257498274445,5.82691593218496,0,0.913084067815036,0
PID,2,0.75,1.75,0.0368138585714084,5.4,6.86517053113966,5.48263613461203,0,0.917363865387973,0
PID,1.5,0.75,2,0.040812975926219,5.92,7.64552030113549,6.00208119173622,0,0.92,0
PID,2.5,1,1.45,0.0219809018786403,5.92,6.51802747032363,8.59440034914121,0,0.92,0
PID,2.75,1,1.5,0.0226884831727157,5.92,6.61500605931712,7.64577402898354,0,0.92,0
PID,1.25,0.75,1.5,0.028692685386321,5.56,6.69005878384765,10.3629566971567,0,0.922956697156685,0
PID,3,1,1.55,0.023093422036168,5.93,6.68255928419343,6.93607820061072,0,0.93,0
PID,3.75,1,1.6,0.0220999834477356,5.88,6.50072897292558,5.94455805444352,0,0.935441945556479,0
PID,4.75,0.75,1.25,0.0208021739786066,4.31,4.60288568689492,5.06306995490648,0,0.936930045093519,0
PI,7.75,0.5,NaN,0.394188934089096,0.39,1.70360483206225,9.11380126576639,0,0.941889340890958,0
PID,3,0.75,1.5,0.0296454173099303,4.85,5.91355539031828,5.05611302038288,0,0.943886979617115,0
PID,1.25,0.75,1.85,0.0362464252916437,5.95,7.52272910307209,7.86257207343001,0,0.95,0
PID,3.25,1,1.6,0.0232797578166009,5.95,6.7353069110282,6.38410880310737,0,0.95,0
